Time|Exchange|Symbol|Sale Condition|Trade Volume|Trade Price|Trade Stop Stock Indicator|Trade Correction Indicator|Sequence Number|Trade Id|Source of Trade|Trade Reporting Facility|Participant Timestamp|Trade Reporting Facility TRF Timestamp|Trade Through Exempt Indicator
093000558343442|Q|YHGJ|@O I|3|.8494||00|1365958|1|N| |093000558325261||1
093000558354166|Q|YHGJ|@  Q|3|.8494||00|1365959|2|N| |093000558340852||0
100902724131714|K|YHGJ|@  I|1|.8459||00|3197601|1|N| |100902723940000||0
101053851729644|K|YHGJ|@  I|4|.8459||00|3251794|2|N| |101053851538000||0
101302541799784|K|YHGJ|@  I|40|.8459||00|3314320|3|N| |101302541611000||0
101520481249562|Y|YHGJ|@   |167|.815||00|3386262|1|N| |101520481058000||0
101731147904572|Q|YHGJ|@  I|31|.8149||00|3447333|3|N| |101731147890161||0
102651819765635|P|YHGJ|@  I|23|.814||00|3722163|1|N| |102651819425467||0
102651819766954|P|YHGJ|@  Q|23|.814||00|3722164|2|N| |102651819425467||0
105015763751303|D|YHGJ|@  I|1|.7962||00|4435281|1|N|Q|105015763331432|105015763733374|0
110444233120846|Q|YHGJ|@  I|1|.8099||00|4835563|4|N| |110444233106942||0
111925203601623|Q|YHGJ|@  I|40|.8099||00|5240547|5|N| |111925203587988||0
112732855546761|Q|YHGJ|@  I|4|.8099||00|5422742|6|N| |112732855533071||0
114018301211122|Q|YHGJ|@  I|30|.8099||00|5697562|7|N| |114018301196474||0
114018308728683|U|YHGJ|@F I|20|.81||00|5697565|1|N| |114018308539092||1
115107728250360|U|YHGJ|@F I|4|.81||00|5904216|2|N| |115107728064987||1
115644902317362|U|YHGJ|@F I|4|.81||00|6006926|3|N| |115644902123220||1
122420612567716|U|YHGJ|@F I|5|.81||00|6589955|4|N| |122420612380131||1
122955309978354|U|YHGJ|@F I|60|.81||00|6693059|5|N| |122955309787617||1
125056678486787|U|YHGJ|@F I|4|.81||00|7065847|6|N| |125056678299296||1
131325748867570|U|YHGJ|@F I|40|.81||00|7436708|7|N| |131325748674139||1
131325748984162|U|YHGJ|@  I|1|.81||00|7436709|8|N| |131325748802356||0
132823709073717|U|YHGJ|@F I|4|.81||00|7665365|9|N| |132823708886314||1
143918729226303|U|YHGJ|@F I|4|.81||00|8793671|10|N| |143918729037274||1
145734626224742|U|YHGJ|@F I|35|.81||00|9075242|11|N| |145734626041744||1
151713757964520|U|YHGJ|@F I|4|.81||00|9477816|12|N| |151713757782321||1
153552194255363|U|YHGJ|@F I|10|.81||00|9874748|13|N| |153552194068088||1
154706032027414|U|YHGJ|@F I|2|.81||00|10164685|14|N| |154706031841422||1
154945875769768|U|YHGJ|@F I|1|.81||00|10244956|15|N| |154945875587146||1
154946748648157|U|YHGJ|@F I|30|.81||00|10245455|16|N| |154946748463324||1
154946756717994|U|YHGJ|@F I|2|.81||00|10245457|17|N| |154946756535305||1
154946756819707|U|YHGJ|@  I|3|.81||00|10245459|18|N| |154946756639086||0
154947099218869|U|YHGJ|@  I|1|.81||00|10245759|19|N| |154947099037777||0
154951717124431|U|YHGJ|@F I|40|.81||00|10248320|20|N| |154951716935993||1
154954994840152|U|YHGJ|@  I|1|.81||00|10250158|21|N| |154954994655759||0
154955785094436|U|YHGJ|@  I|4|.81||00|10251384|22|N| |154955784910877||0
155556064232034|U|YHGJ|@F I|25|.81||00|10568468|23|N| |155556064044638||1
155945010101539|Y|YHGJ|@  I|51|.7995||00|10965618|2|N| |155945009912000||0
155945010118623|Y|YHGJ|@  I|11|.7995||00|10965620|3|N| |155945009934000||0
155945010122467|Y|YHGJ|@   |114|.7995||00|10965621|4|N| |155945009934000||0
155946085362236|Y|YHGJ|@  I|54|.7995||00|10971505|5|N| |155946085176000||0
160000022843658|P|YHGJ|@  M|114|.7995||00|11033630|3|N| |160000022459879||0
160000060352682|Q|YHGJ|@6 X|1046|.796||00|11034356|8|N| |160000060335525||1
160000091295436|Q|YHGJ|@  M|1046|.796||00|11035257|9|N| |160000091266352||0
093000076893133|Q|YXT|@O I|9|.9418||00|1362415|1|N| |093000076876167||1
093000076990315|Q|YXT|@  Q|9|.9418||00|1362416|2|N| |093000076970453||0
093001145064929|D|YXT|@  I|1|.9467||00|1371393|1|N|Q|093000860055000|093001145047332|0
095252699495445|K|YXT|@F  |154|.95||00|2612001|1|N| |095252699300000||1
095501482579082|Q|YXT|@  I|1|.9609||00|2703462|3|N| |095501482565190||0
105230995807789|D|YXT|@   |1000|.9467||00|4506961|2|N|Q|105230995226282|105230995790152|0
105804529598029|D|YXT|@  I|1|.946701||00|4663989|3|N|Q|105804527000000|105804529578794|0
110936749296890|Q|YXT|@  I|10|.9609||00|4981459|4|N| |110936749282409||0
110936749299920|Q|YXT|@  I|3|.9707||00|4981460|5|N| |110936749282409||0
111209036644770|D|YXT|@  I|5|.9467||00|5054969|4|N|Q|111209036403181|111209036626977|0
114022005485757|Q|YXT|@  I|23|.9707||00|5698542|6|N| |114022005471892||0
121833506841921|D|YXT|@  I|30|.922501||00|6468851|5|N|Q|121833505000000|121833506824016|0
123025529094974|Q|YXT|@  I|13|.9707||00|6703075|7|N| |123025529080914||0
125252699493774|K|YXT|@F  |200|.9474||00|7098594|2|N| |125252699302000||1
125252824429320|K|YXT|@   |800|.9474||00|7098606|3|N| |125252824241000||0
135252699586090|K|YXT|@F  |200|.9474||00|8041833|4|N| |135252699395000||1
135252862911343|K|YXT|@   |200|.9474||00|8041906|5|N| |135252862722000||0
135259458351064|K|YXT|@   |100|.9474||00|8043910|6|N| |135259458154000||0
135327547699981|V|YXT|@   |700|.9474||00|8055969|1|N| |135327547476667||0
141637169959184|D|YXT|@  I|2|.919301||00|8447860|6|N|Q|141637168000000|141637169938185|0
