Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
035900100994430|K|YHGJ|0|0|0|0|L|1061|1||||N||0||||035900091742000||| 
035900186352225|Z|YHGJ|0|0|0|0|L|2362|1||||N||0||||035900185881000||| 
040000001189146|H|YHGJ|0|0|0|0|R|3343|1||||N||0||||040000000854651||| 
040000019185595|K|YHGJ|0|0|4|1|Y|5492|2||||N||0||||040000000035000||| 
040016739022809|K|YHGJ|0|0|.85|5|Y|28854|2||||N||0||||040016738840000||| 
040016987513787|K|YHGJ|0|0|.8495|1|Y|29058|3||||N||0||||040016987334000||| 
040016987689565|P|YHGJ|0|0|.8495|6|R|29059|3||||N||0||||040016987352653||| 
040016987778013|H|YHGJ|0|0|.8495|1|Y|29060|0||||N||0||||040016987491804||| 
040016987944421|U|YHGJ|0|0|.8495|1|R|29061|0||||N||0||||040016987773204||| 
040558622956914|Q|YHGJ|.3342|1|0|0|R|179132|3||||N||0||||040558622944697||| 
040558622961871|Q|YHGJ|.3342|1|1.3|1|R|179133|0||||N||0||||040558622950372||| 
040558623490713|Q|YHGJ|.3342|1|1.3|2|R|179134|0||||N||0||||040558623479180||| 
040559950382327|P|YHGJ|.72|23|.8495|6|R|180201|4||||N||0||||040559950045533||| 
040559954976267|Q|YHGJ|.68|1|1.3|2|R|180205|0||||N||0||||040559954963811||| 
040559962513700|K|YHGJ|.7824|1|.8495|1|R|180206|3||||N||0||||040559962330000||| 
040559962688008|P|YHGJ|.7824|5|.8495|6|R|180207|4||||N||0||||040559962351202||| 
040559962901289|U|YHGJ|.7824|1|.8495|1|R|180208|0||||N||0||||040559962726560||| 
040559962926603|H|YHGJ|.7824|1|.8495|1|R|180209|0||||N||0||||040559962647144||| 
040945623888113|Q|YHGJ|.68|1|1.3|1|R|259402|0||||N||0||||040945623876883||| 
040945623889533|Q|YHGJ|.7156|1|1.3|1|R|259403|0||||N||0||||040945623878292||| 
040945623896719|Q|YHGJ|.7156|1|.9221|1|R|259404|0||||N||0||||040945623885018||| 
045342225597462|Q|YHGJ|.7156|1|.9221|2|R|832823|0||||N||0||||045342225584474||| 
065800126465449|Y|YHGJ|0|0|0|0|L|1814069|0||||N||0||||065800125990000||| 
070000031755055|K|YHGJ|.7824|1|.8493|1|R|1833050|3||||N||0||||070000000274000||| 
070007857845598|U|YHGJ|.7824|1|.8494|9|R|1849346|0||||N||0||||070007857675469||| 
075404603517420|U|YHGJ|.7824|1|.8495|1|R|2874133|0||||N||0||||075404603347582||| 
075404603647520|U|YHGJ|.7824|1|.8494|9|R|2874134|0||||N||0||||075404603478608||| 
075554513199066|Q|YHGJ|.712|1|.9221|2|R|2927197|0||||N||0||||075554513187613||| 
075554513200550|Q|YHGJ|.712|1|.9221|1|R|2927198|0||||N||0||||075554513188899||| 
075554513493061|Q|YHGJ|.7156|1|.9221|1|R|2927203|0||||N||0||||075554513482113||| 
075554513497919|Q|YHGJ|.7156|1|.9219|1|R|2927204|0||||N||0||||075554513486955||| 
084254418192433|P|YHGJ|.7824|5|.846|6|R|4999198|4||||N||0||||084254417855006||| 
091350062542078|Q|YHGJ|.68|1|.9219|1|R|6228380|0||||N||0||||091350062531195||| 
091350064567801|Q|YHGJ|.68|1|.9221|1|R|6228451|0||||N||0||||091350064556684||| 
092807708019922|U|YHGJ|.7824|1|.8495|1|R|7010261|0||||N||0||||092807707849358||| 
092807733331809|Q|YHGJ|.68|1|.8494|9|R|7010274|0||||N||0||||092807733319709||| 
092826733275283|Q|YHGJ|.6831|17|.8494|9|R|7040823|0||||N||0||||092826733262873||| 
092832584928186|J|YHGJ|.6963|1|0|0|Y|7050492|0||||N||0||||092832584745000||| 
092832584937220|J|YHGJ|.6963|1|.9391|1|R|7050493|0||||N||0||||092832584761000||| 
092832585177390|Q|YHGJ|.6963|1|.8494|9|R|7050494|0||||N||0||||092832585165037||| 
092835996940932|J|YHGJ|.7354|1|.9391|1|R|7055499|0||||N||0||||092835996760000||| 
