Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
035900080966857|Z|ZEXIT|0|0|0|0|R|116|O| |||C||||||035900080677000||| 
035900199369195|K|ZEXIT|0|0|0|0|R|210|O| |||C||||||035900199113000||| 
065800144486541|Y|ZEXIT|0|0|0|0|R|296699|O| |||C||||||065800144199000||| 
070100366370053|C|ZEXIT|10|1|0|0|R|305963|G| |||C||||||070100366335615||| 
070100504474373|A|ZEXIT|10|1|0|0|R|305969|A| |||C||||||070100504443181||| 
070103213377865|M|ZEXIT|10|1|0|0|R|306125|A| |||C||||||070103213031197||| 
070112502805460|A|ZEXIT|0|0|0|0|R|306770|A| |||C||||||070112502774696||| 
070114365661645|C|ZEXIT|0|0|0|0|R|306850|U| |||C||||||070114365630742||| 
070118214171968|M|ZEXIT|0|0|0|0|R|306941|O| |||C||||||070118212661596||| 
070131793762963|N|ZEXIT|10|1|0|0|R|307232|G| |||C||||||070131793734751||| 
070145827200942|N|ZEXIT|0|0|0|0|R|307741|O| |||C||||||070145827172589||| 
091733918195463|T|ZEXIT|7.2|1|0|0|R|665350|G| |||C||||||091733917839468||| 
091733918581357|T|ZEXIT|7.2|1|12.8|1|R|665351|G| |||C||||||091733918229642||| 
093500001075473|T|ZEXIT|7.2|1|12.8|1|R|1391666|A| |||C||||S|D|091733918229642||| 
160000118637952|T|ZEXIT|0|0|12.8|1|R|55203730|G| |||C|||||C|160000118279136||| 
160000118643166|T|ZEXIT|0|0|0|0|R|55203731|O| |||C||||||160000118279925||| 
035900080951819|Z|ZTAX|0|0|0|0|R|111|O| |||C||||||035900080674000||| 
035900199359130|K|ZTAX|0|0|0|0|R|205|O| |||C||||||035900199105000||| 
040000004019082|H|ZTAX|0|0|0|0|R|346|O| |||C||||||040000003612624||| 
040000022037045|K|ZTAX|22.15|3|28.15|1|R|582|G| |||C||||||040000000035000||| 
040500114662361|P|ZTAX|21.75|1|0|0|R|14366|A| |||C||||||040500114637125||| 
040500114667361|P|ZTAX|21.75|1|28.55|1|R|14367|A| |||C||||||040500114642086||| 
040535385911086|T|ZTAX|10.07|1|0|0|R|15269|A| |||C||||||040535385553453||| 
040535385911086|T|ZTAX|10.07|1|40.27|1|R|15270|A| |||C||||||040535385557046||| 
040535386407248|T|ZTAX|10.07|2|40.27|1|R|15271|A| |||C||||||040535386056190||| 
040945061648934|T|ZTAX|10.07|1|40.27|1|R|26798|A| |||C||||||040945061294519||| 
040945061653419|T|ZTAX|20.26|1|40.27|1|R|26799|A| |||C||||||040945061301536||| 
040945061658475|T|ZTAX|20.26|1|30.55|1|R|26800|A| |||C||||||040945061307469||| 
065800144471607|Y|ZTAX|0|0|0|0|R|296694|A| |||C||||||065800144195000||| 
070025791001707|K|ZTAX|22.15|3|0|0|R|304085|U| |||C||||||070025790768000||| 
070025791568190|P|ZTAX|21.75|1|0|0|R|304086|U| |||C||||||070025791541128||| 
070025792014179|T|ZTAX|20.26|1|31.11|1|R|304087|U| |||C||||||070025791659132||| 
070025792024151|T|ZTAX|20.26|1|30.99|1|R|304088|U| |||C||||||070025791671016||| 
070025792595643|T|ZTAX|20.26|1|33.29|1|R|304089|U| |||C||||||070025792243696||| 
070025792600521|T|ZTAX|20.26|1|33.16|1|R|304090|U| |||C||||||070025792251116||| 
070025793076800|T|ZTAX|20.26|1|33.9|1|R|304091|U| |||C||||||070025792729806||| 
070025793086682|T|ZTAX|20.26|1|33.76|1|R|304092|U| |||C||||||070025792738431||| 
070025793492717|T|ZTAX|20.26|1|36.28|1|R|304093|U| |||C||||||070025793145823||| 
070025793502752|T|ZTAX|20.26|1|36.13|1|R|304094|U| |||C||||||070025793152631||| 
070025794094112|T|ZTAX|20.26|1|36.95|1|R|304095|U| |||C||||||070025793744381||| 
070025794099091|T|ZTAX|20.26|1|36.79|1|R|304096|U| |||C||||||070025793751899||| 
070025794510166|T|ZTAX|20.26|1|39.54|1|R|304097|U| |||C||||||070025794160384||| 
070025794515081|T|ZTAX|20.26|1|39.38|1|R|304098|U| |||C||||||070025794167059||| 
